Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,12-Nov-2025,18-Nov-2025,CE,23550.00,2314.80,2314.80,2314.80,2314.80,2314.80,2348.05,1.00,19.40,1.74,375.00,75.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,27750.00,0.95,0.95,0.75,0.85,0.80,0.85,1910.00,39753.07,1.20,31575.00,15150.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,26800.00,2.15,2.80,2.05,2.40,2.25,2.40,246914.00,4963410.63,439.23,2392650.00,994650.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,26950.00,1.40,1.90,1.20,1.75,1.65,1.75,61928.00,1251797.94,78.24,628275.00,398250.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,24900.00,986.05,1083.65,965.00,1039.80,1031.10,1039.80,167.00,3245.97,127.25,52125.00,-375.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,23400.00,-,-,-,2355.05,2355.05,2497.90,-,-,-,1800.00,-,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,25450.00,450.00,545.60,425.25,506.85,500.55,506.85,4741.00,92228.76,1734.92,74775.00,-60075.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,26750.00,2.25,3.35,2.25,2.80,2.65,2.80,172463.00,3460398.65,359.71,589125.00,358725.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,25350.00,564.15,641.40,529.85,603.10,593.00,603.10,1334.00,25940.22,577.54,54600.00,-300.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,23750.00,-,-,-,2007.20,2007.20,2148.25,-,-,-,375.00,-,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,26500.00,7.90,9.70,6.00,7.60,7.65,7.60,685697.00,13632102.10,3874.22,6224400.00,1688700.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,27000.00,1.30,1.65,1.30,1.55,1.55,1.55,333286.00,6749417.34,375.84,6607650.00,1071600.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,27500.00,0.90,1.05,0.75,0.85,0.80,0.85,226765.00,4677173.02,144.89,3632625.00,-56250.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,24050.00,-,-,-,1686.70,1686.70,1848.50,-,-,-,375.00,-,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,26650.00,3.80,4.90,3.45,3.90,3.90,3.90,234085.00,4679464.28,690.34,820425.00,50325.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,24400.00,1485.00,1575.00,1466.00,1552.00,1552.00,1498.85,37.00,718.70,41.60,3225.00,525.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,26400.00,8.50,16.65,8.50,12.45,12.50,12.45,588935.00,11666422.64,5509.64,3391875.00,1820100.00,25875.80
NIFTY,12-Nov-2025,25-Nov-2025,CE,27450.00,2.40,2.50,2.00,2.15,2.10,2.15,852.00,17541.92,1.37,34575.00,29775.00,25875.80
NIFTY,12-Nov-2025,25-Nov-2025,CE,25200.00,750.00,851.70,746.95,811.50,814.45,811.50,1998.00,38949.43,1187.23,530100.00,-45225.00,25875.80
